idx,doc_id,period,year,paragraph_idx,segment_idx,char_count,word_count,filter_score
188,potseluev_1997,1985-1999,1997,663,0,860,111,7
189,potseluev_1997,1985-1999,1997,664,0,592,80,9
190,potseluev_1997,1985-1999,1997,665,0,121,15,3
191,potseluev_1997,1985-1999,1997,666,0,1113,161,4
192,potseluev_1997,1985-1999,1997,666,1,381,48,4
193,potseluev_1997,1985-1999,1997,667,0,294,39,3
194,potseluev_1997,1985-1999,1997,668,0,400,56,2
195,potseluev_1997,1985-1999,1997,668,1,671,77,16
196,potseluev_1997,1985-1999,1997,668,2,174,27,5
197,potseluev_1997,1985-1999,1997,669,0,306,40,5
198,potseluev_1997,1985-1999,1997,670,0,202,24,3
199,potseluev_1997,1985-1999,1997,671,0,891,116,12
200,potseluev_1997,1985-1999,1997,671,1,864,127,17
201,potseluev_1997,1985-1999,1997,672,0,199,31,8
202,potseluev_1997,1985-1999,1997,673,0,294,42,9
203,potseluev_1997,1985-1999,1997,674,0,636,94,16
204,potseluev_1997,1985-1999,1997,675,0,556,75,6
205,potseluev_1997,1985-1999,1997,676,0,401,54,4
206,potseluev_1997,1985-1999,1997,677,0,548,75,3
207,potseluev_1997,1985-1999,1997,678,0,345,56,8
208,potseluev_1997,1985-1999,1997,681,1,104,19,3
209,potseluev_1997,1985-1999,1997,681,3,146,22,6
210,potseluev_1997,1985-1999,1997,681,8,100,16,6
211,potseluev_1997,1985-1999,1997,682,1,105,16,5
212,potseluev_1997,1985-1999,1997,689,0,888,110,3
213,potseluev_1997,1985-1999,1997,695,0,479,66,2
214,potseluev_1997,1985-1999,1997,698,0,571,76,3
215,potseluev_1997,1985-1999,1997,698,1,666,84,7
216,potseluev_1997,1985-1999,1997,698,2,725,101,3
217,potseluev_1997,1985-1999,1997,698,3,787,103,6
218,potseluev_1997,1985-1999,1997,698,4,229,26,3
219,potseluev_1997,1985-1999,1997,700,0,875,125,4
220,potseluev_1997,1985-1999,1997,706,0,692,92,4
221,potseluev_1997,1985-1999,1997,706,1,703,95,7
222,potseluev_1997,1985-1999,1997,710,0,248,34,4
223,potseluev_1997,1985-1999,1997,716,0,263,42,3
224,potseluev_1997,1985-1999,1997,717,1,157,27,3
225,potseluev_1997,1985-1999,1997,717,3,154,22,4
226,potseluev_1997,1985-1999,1997,717,7,105,15,5
227,potseluev_1997,1985-1999,1997,720,0,229,25,2
228,potseluev_1997,1985-1999,1997,723,0,600,71,3
229,potseluev_1997,1985-1999,1997,724,0,581,71,2
230,potseluev_1997,1985-1999,1997,724,1,579,84,4
231,potseluev_1997,1985-1999,1997,726,0,838,103,2
232,potseluev_1997,1985-1999,1997,726,2,434,51,2
233,potseluev_1997,1985-1999,1997,727,1,826,102,2
234,potseluev_1997,1985-1999,1997,727,2,578,71,3
235,potseluev_1997,1985-1999,1997,728,2,646,67,2
236,potseluev_1997,1985-1999,1997,737,0,891,115,6
237,potseluev_1997,1985-1999,1997,737,1,349,51,3
238,potseluev_1997,1985-1999,1997,738,0,548,70,3
